,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0,0.468,0.753,4,-4.329,0,0.031,0.179,5.65e-06,0.148,0.18,155.929,audio_features,28QpCzFbTf09Jsj2zuz58t,spotify:track:28QpCzFbTf09Jsj2zuz58t,https://api.spotify.com/v1/tracks/28QpCzFbTf09Jsj2zuz58t,https://api.spotify.com/v1/audio-analysis/28QpCzFbTf09Jsj2zuz58t,250293,4,Avid
0,0.585,0.714,4,-5.357,0,0.0397,0.0134,0.0,0.172,0.496,119.957,audio_features,6MjG6j8Iuea6XL9cp1aUec,spotify:track:6MjG6j8Iuea6XL9cp1aUec,https://api.spotify.com/v1/tracks/6MjG6j8Iuea6XL9cp1aUec,https://api.spotify.com/v1/audio-analysis/6MjG6j8Iuea6XL9cp1aUec,243628,4,透明な世界
0,0.389,0.867,1,-3.604,1,0.048,0.000303,0.0,0.347,0.215,94.952,audio_features,60iYkEAcSpAFcsjRrgTlrc,spotify:track:60iYkEAcSpAFcsjRrgTlrc,https://api.spotify.com/v1/tracks/60iYkEAcSpAFcsjRrgTlrc,https://api.spotify.com/v1/audio-analysis/60iYkEAcSpAFcsjRrgTlrc,269000,4,明け星
0,0.614,0.785,3,-5.15,0,0.0361,0.767,0.0,0.331,0.567,107.056,audio_features,23ILMGaQXEuSQkflOcEJTz,spotify:track:23ILMGaQXEuSQkflOcEJTz,https://api.spotify.com/v1/tracks/23ILMGaQXEuSQkflOcEJTz,https://api.spotify.com/v1/audio-analysis/23ILMGaQXEuSQkflOcEJTz,246039,4,Dream on
0,0.491,0.879,6,-2.722,0,0.0652,0.391,0.0,0.342,0.571,160.092,audio_features,2BlDX1yfT0ea5wo0vjCKKa,spotify:track:2BlDX1yfT0ea5wo0vjCKKa,https://api.spotify.com/v1/tracks/2BlDX1yfT0ea5wo0vjCKKa,https://api.spotify.com/v1/audio-analysis/2BlDX1yfT0ea5wo0vjCKKa,252133,4,光るなら
0,0.715,0.722,5,-4.62,1,0.0348,0.197,0.0,0.114,0.522,89.995,audio_features,19fhOFi6pNGeZe5uiFlm7c,spotify:track:19fhOFi6pNGeZe5uiFlm7c,https://api.spotify.com/v1/tracks/19fhOFi6pNGeZe5uiFlm7c,https://api.spotify.com/v1/audio-analysis/19fhOFi6pNGeZe5uiFlm7c,215333,4,優しい彗星
0,0.351,0.742,5,-4.09,0,0.0418,0.00594,1.54e-05,0.161,0.333,147.928,audio_features,2JFrbjQNJSBPeUz2Pn4ZaY,spotify:track:2JFrbjQNJSBPeUz2Pn4ZaY,https://api.spotify.com/v1/tracks/2JFrbjQNJSBPeUz2Pn4ZaY,https://api.spotify.com/v1/audio-analysis/2JFrbjQNJSBPeUz2Pn4ZaY,352265,4,季路
0,0.55,0.828,1,-7.527,1,0.0487,0.168,0.000649,0.0928,0.242,134.012,audio_features,2cWXjk50iwkCaEesJUCm8f,spotify:track:2cWXjk50iwkCaEesJUCm8f,https://api.spotify.com/v1/tracks/2cWXjk50iwkCaEesJUCm8f,https://api.spotify.com/v1/audio-analysis/2cWXjk50iwkCaEesJUCm8f,211767,4,Replica
0,0.486,0.791,5,-4.288,1,0.0435,0.0404,0.0,0.0814,0.337,94.053,audio_features,3g7Fpu5Ii99ZfR4JytRSeI,spotify:track:3g7Fpu5Ii99ZfR4JytRSeI,https://api.spotify.com/v1/tracks/3g7Fpu5Ii99ZfR4JytRSeI,https://api.spotify.com/v1/audio-analysis/3g7Fpu5Ii99ZfR4JytRSeI,217701,4,Prologue
0,0.572,0.727,11,-5.325,0,0.0389,0.127,0.0,0.127,0.365,140.058,audio_features,62yZ21fqY3DIxXxV0vBdqP,spotify:track:62yZ21fqY3DIxXxV0vBdqP,https://api.spotify.com/v1/tracks/62yZ21fqY3DIxXxV0vBdqP,https://api.spotify.com/v1/audio-analysis/62yZ21fqY3DIxXxV0vBdqP,262706,4,絶体絶命
0,0.58,0.484,0,-6.612,1,0.0543,0.113,0.0,0.202,0.327,74.873,audio_features,0Q5iAvLaf5gPOXBdwn2xTI,spotify:track:0Q5iAvLaf5gPOXBdwn2xTI,https://api.spotify.com/v1/tracks/0Q5iAvLaf5gPOXBdwn2xTI,https://api.spotify.com/v1/audio-analysis/0Q5iAvLaf5gPOXBdwn2xTI,223187,4,Tell me
0,0.389,0.867,1,-3.604,1,0.048,0.000303,0.0,0.347,0.215,94.952,audio_features,3J34JtfZNylVXSKN4TDf12,spotify:track:3J34JtfZNylVXSKN4TDf12,https://api.spotify.com/v1/tracks/3J34JtfZNylVXSKN4TDf12,https://api.spotify.com/v1/audio-analysis/3J34JtfZNylVXSKN4TDf12,269000,4,明け星
0,0.482,0.762,0,-4.371,1,0.0551,0.0175,3.47e-06,0.519,0.435,90.495,audio_features,7vFsMU7BORCrf7tZ4oTxlV,spotify:track:7vFsMU7BORCrf7tZ4oTxlV,https://api.spotify.com/v1/tracks/7vFsMU7BORCrf7tZ4oTxlV,https://api.spotify.com/v1/audio-analysis/7vFsMU7BORCrf7tZ4oTxlV,237500,3,タクト
0,0.454,0.695,7,-4.143,1,0.0314,0.0186,0.0,0.0952,0.271,77.996,audio_features,5Fl7lwRIxawx0KKkHjOrYv,spotify:track:5Fl7lwRIxawx0KKkHjOrYv,https://api.spotify.com/v1/tracks/5Fl7lwRIxawx0KKkHjOrYv,https://api.spotify.com/v1/audio-analysis/5Fl7lwRIxawx0KKkHjOrYv,290147,4,Ref:rain
0,0.422,0.67,4,-6.137,1,0.0586,0.0709,0.0,0.0944,0.551,170.19,audio_features,4Ut1yVtaTsq0Mp6F2V2yJC,spotify:track:4Ut1yVtaTsq0Mp6F2V2yJC,https://api.spotify.com/v1/tracks/4Ut1yVtaTsq0Mp6F2V2yJC,https://api.spotify.com/v1/audio-analysis/4Ut1yVtaTsq0Mp6F2V2yJC,255520,4,生命線
0,0.507,0.808,6,-6.908,1,0.0535,0.0925,0.000152,0.0585,0.42,163.921,audio_features,11lbUUMW8T5MFpHTYLulmg,spotify:track:11lbUUMW8T5MFpHTYLulmg,https://api.spotify.com/v1/tracks/11lbUUMW8T5MFpHTYLulmg,https://api.spotify.com/v1/audio-analysis/11lbUUMW8T5MFpHTYLulmg,230827,4,kIng
0,0.707,0.292,2,-9.767,1,0.0309,0.724,0.00235,0.235,0.637,80.016,audio_features,4MwVirVMyerMiHkFomOZay,spotify:track:4MwVirVMyerMiHkFomOZay,https://api.spotify.com/v1/tracks/4MwVirVMyerMiHkFomOZay,https://api.spotify.com/v1/audio-analysis/4MwVirVMyerMiHkFomOZay,290467,4,嘘月
0,0.608,0.712,7,-4.47,1,0.0338,0.506,0.0,0.167,0.545,144.967,audio_features,7e075JlKGuMFroDv7xev13,spotify:track:7e075JlKGuMFroDv7xev13,https://api.spotify.com/v1/tracks/7e075JlKGuMFroDv7xev13,https://api.spotify.com/v1/audio-analysis/7e075JlKGuMFroDv7xev13,288787,4,神無-KANNA-
